case_id,case_type,problem_category,dice_score,baseline_volume,gt_volume,volume_ratio,num_components_baseline,num_components_gt,largest_component_baseline,largest_component_gt,fragmentation_baseline,compactness,com_distance,shape
ISPY2_117424,ISPY,EXCELLENT,0.9171946449231447,8927,9224,0.9678013876843018,1,2,8927,9223,0.11201971546992272,0.44652861144457784,0.38809230989353344,"[256, 256, 134]"
ISPY2_120422,ISPY,EXCELLENT,0.8813421098619444,7743,9424,0.821625636672326,5,2,7623,9422,0.6457445434586078,0.03729086198094761,2.347716716481198,"[384, 384, 160]"
ISPY2_123660,ISPY,EXCELLENT,0.882529797057876,9694,8932,1.0853112404836542,5,1,8800,8932,0.51578295853105,0.029029601569167653,12.555106434546019,"[384, 384, 160]"
ISPY2_129973,ISPY,GOOD,0.7944067796610169,4812,6988,0.6886090440755581,2,4,4774,6967,0.4156275976724854,0.24942981546755133,8.644342373328623,"[256, 256, 64]"
ISPY2_132463,ISPY,EXCELLENT,0.9498849505328826,115561,125205,0.9229743221117368,1,9,115561,125167,0.00865343844376563,0.34730745881094205,0.9465682982319219,"[320, 320, 150]"
ISPY2_139771,ISPY,EXCELLENT,0.9556904737959253,91279,97642,0.9348333708854796,1,7,91279,97586,0.010955422386310105,0.5008449931412894,0.6964416605732949,"[312, 312, 78]"
ISPY2_141782,ISPY,EXCELLENT,0.8530675688031453,5218,5719,0.9123972722503935,4,3,4810,5717,0.7665772326561902,0.015859989544200072,9.049800463731989,"[256, 256, 160]"
ISPY2_144302,ISPY,GOOD,0.7319716548561901,1474,925,1.5935135135135134,1,1,1474,925,0.6784260515603799,0.4563467492260062,0.6061325530767643,"[256, 256, 134]"
ISPY2_145777,ISPY,EXCELLENT,0.9294599841806285,6937,6970,0.9952654232424677,1,1,6937,6970,0.1441545336600836,0.5144234334445681,0.12417770440364427,"[256, 256, 134]"
ISPY2_151230,ISPY,GOOD,0.7758868536981219,18553,24577,0.7548927859380722,5,13,18216,24454,0.26949819436209776,0.08343076590999028,6.922400077322782,"[256, 256, 80]"
ISPY2_151980,ISPY,MODERATE,0.5682749921160517,5485,13541,0.40506609556162765,2,4,5484,13535,0.3646308113035551,0.3731292517006803,6.685292242840176,"[384, 384, 160]"
ISPY2_152197,ISPY,EXCELLENT,0.8905146637826834,24974,22183,1.1258170671234728,2,2,24967,22174,0.08008328661808281,0.09974438852943526,1.7738338944888281,"[256, 256, 80]"
ISPY2_157270,ISPY,EXCELLENT,0.9135910954891623,6987,6669,1.0476833108412056,1,1,6987,6669,0.1431229426077,0.4633289124668435,0.14289796296713583,"[256, 256, 160]"
ISPY2_159352,ISPY,GOOD,0.7745518808381722,4599,3323,1.3839903701474572,3,1,3347,3323,0.6523157208088715,0.02924400526506553,22.172060574615948,"[256, 256, 160]"
ISPY2_166782,ISPY,EXCELLENT,0.925371142618849,14833,15142,0.9795931845198785,2,1,14820,15142,0.13483449066271153,0.3738909054244807,1.1325306699626063,"[256, 256, 64]"
ISPY2_169536,ISPY,GOOD,0.6808104886769965,2335,1860,1.2553763440860215,7,1,1562,1860,2.9978586723768736,0.031006825485353093,45.300164424223595,"[384, 384, 72]"
ISPY2_172168,ISPY,EXCELLENT,0.8887310606060606,8409,8487,0.9908094733121244,2,3,8408,8485,0.2378404090855036,0.4211237980769231,0.37624953310919274,"[384, 384, 160]"
ISPY2_180027,ISPY,EXCELLENT,0.9340367920051363,17377,18446,0.9420470562723626,1,2,17377,18443,0.057547332681130235,0.4936647727272727,0.3958429522248736,"[256, 256, 134]"
ISPY2_182346,ISPY,EXCELLENT,0.8975142660283024,27513,29090,0.9457889309040908,2,8,27299,27294,0.07269290880674589,0.19121121983765152,1.0777250625597743,"[384, 384, 144]"
ISPY2_188091,ISPY,EXCELLENT,0.931775597927918,4284,4789,0.894550010440593,1,1,4284,4789,0.2334267040149393,0.5527741935483871,0.34765169715791894,"[256, 256, 80]"
ISPY2_197942,ISPY,GOOD,0.7325201096084151,9292,13334,0.6968651567421629,14,7,8438,13312,1.506672406371072,0.007649228697284985,21.708620283825464,"[384, 384, 72]"
ISPY2_201831,ISPY,EXCELLENT,0.8200886262924668,1493,1892,0.7891120507399577,1,1,1493,1892,0.6697923643670461,0.5102529049897471,0.7244118674581959,"[320, 320, 150]"
ISPY2_202535,ISPY,EXCELLENT,0.9180481773218538,43667,43677,0.9997710465462372,5,9,43432,43640,0.11450294272562804,0.14938081554460864,0.6550320507465537,"[256, 256, 160]"
ISPY2_208265,ISPY,EXCELLENT,0.9149005676017804,23612,25366,0.9308523220058346,1,4,23612,25358,0.042351346772827377,0.2960752351097179,0.3890997712452553,"[384, 384, 160]"
ISPY2_212307,ISPY,EXCELLENT,0.8748878923766816,23534,25526,0.9219619211784064,18,19,22174,25441,0.7648508540834538,0.02475282931549497,13.869690037661876,"[384, 384, 160]"
ISPY2_213328,ISPY,EXCELLENT,0.808831138963951,9819,7574,1.2964087668339055,1,2,9819,7571,0.10184336490477644,0.3294082125603865,1.1906954022023628,"[312, 312, 80]"
ISPY2_220664,ISPY,EXCELLENT,0.9036417494336992,2758,2981,0.9251928882925193,1,1,2758,2981,0.36258158085569253,0.5211640211640212,0.12378962628875102,"[256, 256, 66]"
ISPY2_222135,ISPY,EXCELLENT,0.8895129063613781,17150,19886,0.8624157698883637,1,3,17150,19884,0.05830903790087464,0.44292355371900827,0.6318931613838684,"[256, 256, 134]"
ISPY2_229824,ISPY,GOOD,0.6746819733167856,14732,23944,0.6152689609087871,16,38,11911,23244,1.0860711376595167,0.07407481898632341,2.841669320071067,"[384, 384, 160]"
